iter	RMSE
480	0.202090572
481	0.2020570774
482	0.2020328196
483	0.2019876298
484	0.201965424
485	0.2019413307
486	0.2019355816
487	0.2019226629
488	0.2019012616
489	0.2018847854
490	0.2018582903
491	0.201836203
492	0.2017967665
493	0.2017931178
494	0.2017685355
495	0.2017412375
496	0.2017178047
497	0.2017026316
498	0.2016794207
499	0.2016671964
500	0.2016358107
501	0.2016028533
502	0.2015887672
503	0.2015587547
504	0.2014870303
505	0.2014827216
506	0.2014745928
507	0.2014465011
508	0.2014292626
509	0.2014173805
510	0.2013901336
511	0.2013740136
512	0.2013283861
513	0.2013154275
514	0.201288358
515	0.2012602792
516	0.2012498698
517	0.2012307595
518	0.2012012156
519	0.2011665509
520	0.2011015839
521	0.2010952476
522	0.2010674765
523	0.2010270817
524	0.200999337
525	0.2009942481
526	0.2009759304
527	0.2009655549
528	0.2009438603
529	0.2009318859
530	0.2009115484
531	0.2008725995
532	0.2008497878
533	0.2008274167
534	0.2008114539
535	0.2007838845
536	0.2007689457
537	0.2007511316
538	0.2007385369
539	0.2007136078
540	0.2007057828
541	0.2006961349
542	0.2006708655
543	0.2006653607
544	0.2006420224
545	0.2006279747
546	0.200609779
547	0.2005861657
548	0.2005488924
549	0.2005419424
550	0.2005186367
551	0.2004959867
552	0.2004897819
553	0.2004755056
554	0.2004476271
555	0.2004042822
556	0.2003621941
557	0.200354493
558	0.2003231154
559	0.2002983415
560	0.2002806925
561	0.2002442433
562	0.2002212465
563	0.2002001952
564	0.2001866402
565	0.2001722265
566	0.2001593694
567	0.200137781
568	0.2001164194
569	0.2001028585
570	0.2000779276
571	0.2000555516
572	0.2000248315
573	0.2000031905
574	0.1999876576
575	0.1999700976
576	0.1999523425
577	0.1999416101
578	0.1999320906
579	0.1999068476
580	0.1998733937
581	0.1998625391
582	0.1998225565
583	0.1998107189
584	0.1997726496
585	0.1997465125
586	0.1997385838
587	0.1997273228
588	0.1997045266
589	0.1996894267
590	0.1996734843
591	0.1996524362
592	0.1996377532
593	0.1996134446
594	0.1995825248
595	0.1995688567
596	0.1995527151
597	0.1995384965
598	0.199528857
599	0.1995119663
600	0.1994979337
601	0.1994766535
602	0.1994640589
603	0.1994601563
604	0.1994410626
605	0.1994347659
606	0.1994058634
607	0.1993854752
608	0.1993697658
609	0.1993635177
610	0.199351643
611	0.1993475397
612	0.1993168694
613	0.1993106104
614	0.1992925767
615	0.199273588
616	0.1992673774
617	0.1992261794
618	0.1992017076
619	0.1991799425
620	0.1991282542
621	0.1991080665
622	0.1990738119
623	0.1990421218
624	0.1989989557
625	0.1989629599
626	0.198934584
627	0.1989138517
628	0.1988894583
629	0.1988779962
630	0.1988699392
631	0.1988451847
632	0.1988147536
633	0.1987996061
634	0.1987894946
635	0.1987709913
636	0.1987516251
637	0.1987400646
638	0.1987206417
639	0.1987020276
640	0.1986808042
641	0.1986757089
642	0.198667583
643	0.1986609597
644	0.1986587011
645	0.1986392166
646	0.1986274902
647	0.1985957333
648	0.1985774158
649	0.1985656574
650	0.1985388367
651	0.1985191341
652	0.1985099559
653	0.1984824832
654	0.198465625
655	0.1984523196
656	0.1984306319
657	0.1984108481
658	0.1983705908
659	0.1983474265
660	0.1983250459
661	0.1983008472
662	0.1982842868
663	0.1982737273
664	0.1982629061
665	0.198250655
666	0.1982168455
667	0.1982062955
668	0.1981468337
669	0.1981146117
670	0.1980557832
671	0.1980337093
672	0.1980219777
673	0.1980120722
674	0.1979911382
675	0.1979716529
676	0.1979582346
677	0.1979453881
678	0.1979384958
679	0.1979022782
680	0.1978752233
681	0.1978679285
682	0.1978503628
683	0.1978344074
684	0.1978167069
685	0.1978050844
686	0.1977837506
687	0.1977659499
688	0.1977411402
689	0.1977308407
690	0.1977137327
691	0.1976907049
692	0.1976757161
693	0.1976663313
694	0.1976543997
695	0.1976375428
696	0.1976299018
697	0.1976157541
698	0.1976042123
699	0.197587555
700	0.1975634136
701	0.1975469266
702	0.1975323726
703	0.1975167382
704	0.1974842921
705	0.1974571799
706	0.1974513644
707	0.1974222041
708	0.1974095959
709	0.1974046855
710	0.1973999573
711	0.1973591421
712	0.197332514
713	0.1973036303
714	0.1972723384
715	0.1972405592
716	0.1972250637
717	0.1972125754
718	0.197185916
719	0.1971723961
720	0.1971477119
721	0.1971351698
722	0.1971130858
723	0.1971004239
724	0.1970884359
725	0.1970687088
726	0.1970420389
727	0.1970226173
728	0.1969896518
729	0.1969716378
730	0.1969430547
731	0.1969256189
732	0.1969175443
733	0.1969137777
734	0.1969031653
735	0.1968775471
736	0.196841649
737	0.1968173204
738	0.1968071937
739	0.1967977038
740	0.1967730649
741	0.1967686864
742	0.1967489787
743	0.1967337749
744	0.196691966
745	0.1966866609
746	0.196667552
747	0.1966531049
748	0.1966449241
749	0.196637563
750	0.1966228432
751	0.1965980113
752	0.1965839876
753	0.1965734552
754	0.1965674607
755	0.1965622847
756	0.1965399793
757	0.1965306195
758	0.1965098427
759	0.1964555509
760	0.1964440245
761	0.196409504
762	0.196380646
763	0.1963622656
764	0.1963369958
765	0.1962858783
766	0.1962588328
767	0.196252054
768	0.196232441
769	0.1962207867
770	0.1961751079
771	0.1961661275
772	0.1961512748
773	0.1961330678
774	0.1961079476
775	0.1960931588
776	0.1960588816
777	0.1960546543
778	0.1960218197
779	0.1960145789
780	0.1959812951
781	0.1959716515
782	0.1959646113
783	0.1959609305
784	0.1959447963
785	0.1959385896
786	0.1959246305
787	0.1958924726
788	0.19588545
789	0.1958651343
790	0.1958542816
791	0.195826369
792	0.1958112193
793	0.1957952062
794	0.1957819865
795	0.1957598402
796	0.1957288484
797	0.1957028797
798	0.1956726659
799	0.1956477426
800	0.1956300714
801	0.1956099788
802	0.1956001789
803	0.1955816012
804	0.1955725136
805	0.1955688367
806	0.1955502212
807	0.1955410242
808	0.1955325812
809	0.195511747
810	0.1954950879
811	0.1954822492
812	0.1954471985
813	0.1954409172
814	0.1954231771
815	0.1954194306
816	0.1954051121
817	0.1953769069
818	0.1953607962
819	0.1953436762
820	0.1953254716
821	0.1953173692
822	0.1953095331
823	0.1952995515
824	0.1952852739
825	0.1952761337
826	0.1952630894
827	0.1952496477
828	0.1952348783
829	0.195218923
830	0.1951896685
831	0.1951791884
832	0.1951522946
833	0.1951251328
834	0.1951074489
835	0.1950993305
836	0.1950880911
837	0.1950763792
838	0.1950470504
839	0.195013498
840	0.1950098991
841	0.1949828442
842	0.1949557511
843	0.1949496831
844	0.1949338874
845	0.1949152971
846	0.1949015125
847	0.1948924271
848	0.1948845264
849	0.1948769534
850	0.1948480632
851	0.194820766
852	0.1947944728
853	0.1947781459
854	0.1947501307
855	0.1947352676
856	0.1947168642
857	0.1947081155
858	0.1947064771
859	0.1946826624
860	0.1946674018
861	0.1946483408
862	0.1946334322
863	0.1946136831
864	0.1946009764
865	0.1945903683
866	0.1945801264
867	0.1945731237
868	0.1945623139
869	0.194551573
870	0.1945260498
871	0.194515413
872	0.1944929279
873	0.1944748357
874	0.1944670814
875	0.1944520339
876	0.1944476863
877	0.194420298
878	0.1944099643
879	0.1943943875
880	0.1943794194
881	0.194369407
882	0.194338195
883	0.1943114788
884	0.1942959335
885	0.1942866544
886	0.1942853391
887	0.1942716644
888	0.194252776
889	0.1942441782
890	0.194228251
891	0.1942197031
892	0.1942067056
893	0.1941936827
894	0.1941851573
895	0.1941383555
896	0.1941076382
897	0.1941032232
898	0.194102396
899	0.1940938823
900	0.1940764114
901	0.1940650053
902	0.1940567524
903	0.1940416773
904	0.19401029
905	0.194004833
906	0.1939868074
907	0.1939666488
908	0.1939454177
909	0.1939137681
910	0.1938962634
911	0.1938859328
912	0.193849831
913	0.1938422688
914	0.1938295857
915	0.1938257932
916	0.1938103941
917	0.1938074896
918	0.1938039881
919	0.1937933934
920	0.1937854332
921	0.1937579006
922	0.1937434345
923	0.1937333316
924	0.1937238778
925	0.1937114075
926	0.1937062635
927	0.193695399
928	0.1936818234
929	0.1936699304
930	0.193660648
931	0.1936556259
932	0.193639021
933	0.1936252095
934	0.1936196138
935	0.1936067729
936	0.1935872003
937	0.1935782675
938	0.1935601298
939	0.1935318975
940	0.1935225947
941	0.1935052002
942	0.193493971
943	0.1934672194
944	0.1934614514
945	0.1934419874
946	0.1934265852
947	0.1934179028
948	0.1934060874
949	0.1933967531
950	0.1933861221
951	0.1933829019
952	0.1933711184
953	0.1933514212
954	0.1933366773
955	0.1933277903
956	0.193322652
957	0.1932987546
958	0.1932732076
959	0.1932642025
960	0.1932533726
961	0.1932301327
962	0.1932175581
963	0.1932108725
964	0.1932074674
965	0.1931853826
966	0.1931753834
967	0.193168312
968	0.193161756
969	0.1931479703
970	0.193141659
971	0.1931260164
972	0.193101591
973	0.1930909807
974	0.1930696776
975	0.1930342181
976	0.193023274
977	0.1930162271
978	0.1930021265
979	0.1929834964
980	0.1929659685
981	0.1929455729
982	0.1929288772
983	0.1929128254
984	0.1929088925
985	0.1928906678
986	0.192877759
987	0.1928604351
988	0.1928517048
989	0.1928412713
990	0.1928151274
991	0.1928021464
992	0.1927990621
993	0.1927870024
994	0.1927712506
995	0.1927598257
996	0.1927295319
997	0.1927143008
998	0.1927033991
999	0.1926767166
