iter	R2	RMSE
96	0.9047966921	0.2469604918
97	0.9050785975	0.2465945848
98	0.9052980087	0.2463094178
99	0.9057051563	0.2457793745
100	0.9059186619	0.2455009657
101	0.9060906031	0.2452765268
102	0.9064513775	0.2448049305
103	0.9067869833	0.2443654169
104	0.9069077369	0.244207083
105	0.9070193591	0.244060631
106	0.9071847127	0.2438435198
107	0.9074911144	0.2434406992
108	0.9076532815	0.243227231
109	0.9078828692	0.2429246933
110	0.9081060907	0.242630183
111	0.9083736739	0.2422766716
112	0.9085727278	0.2420133612
113	0.9087368574	0.2417960332
114	0.9088895763	0.2415936388
115	0.9089403824	0.2415262693
116	0.9091806574	0.2412074064
117	0.9095497174	0.2407168137
118	0.9096904809	0.2405294326
119	0.9097187766	0.2404917485
120	0.9098701467	0.2402900534
121	0.9100125981	0.2401000877
122	0.9103176041	0.2396928411
123	0.9103477517	0.2396525501
124	0.910531044	0.2394074423
125	0.9107701024	0.2390873836
126	0.9108268144	0.2390113929
127	0.9110103944	0.2387652408
128	0.9111881481	0.2385266589
129	0.9114263899	0.2382065149
130	0.9115283506	0.2380693708
131	0.911695277	0.2378446726
132	0.9118867582	0.2375866599
133	0.9119872814	0.2374510968
134	0.9121121361	0.2372826131
135	0.9122267695	0.2371278171
136	0.9123436837	0.236969837
137	0.9123787285	0.2369224623
138	0.9125035331	0.2367536703
139	0.9126248128	0.2365895301
140	0.9127226507	0.2364570331
141	0.9128775173	0.236247153
142	0.9130673291	0.2359896595
143	0.9132092502	0.2357969495
144	0.913320054	0.235646383
145	0.9133483308	0.2356079435
146	0.9135672046	0.2353101939
147	0.9135818321	0.2352902815
148	0.9136082141	0.2352543638
149	0.9136855482	0.2351490456
150	0.9138854864	0.2348765388
151	0.9139320206	0.2348130695
152	0.914018404	0.2346952032
153	0.914138726	0.2345309303
154	0.9141396124	0.2345297196
155	0.9142901815	0.2343239878
156	0.9143233934	0.234278584
157	0.914331553	0.2342674278
158	0.9145256387	0.2340019057
159	0.9146277555	0.233862082
160	0.9148280622	0.2335875686
161	0.9148905557	0.2335018574
162	0.915023114	0.2333199464
163	0.9150931816	0.2332237348
164	0.9151034897	0.2332095771
165	0.915304471	0.2329333671
166	0.9153252611	0.2329047764
167	0.9153571042	0.2328609788
168	0.9154275971	0.2327639921
169	0.9155168156	0.2326411841
170	0.915674877	0.2324234556
171	0.9157271205	0.2323514456
172	0.9159401231	0.2320576217
173	0.9160090867	0.2319624109
174	0.9162084139	0.2316870008
175	0.9162084139	0.2316870008
176	0.9162689132	0.2316033443
177	0.9162834326	0.2315832627
178	0.916398946	0.2314234366
179	0.9165076727	0.2312728997
180	0.9166020144	0.2311421999
181	0.9167352779	0.2309574525
182	0.9168066804	0.2308584041
183	0.9168414847	0.2308101086
184	0.9168992219	0.2307299687
185	0.9169550028	0.2306525176
186	0.9170751854	0.2304855573
187	0.9171502071	0.230381274
188	0.9173353367	0.2301237341
189	0.9173530556	0.2300990697
190	0.9173924962	0.2300441595
191	0.9175474554	0.2298282941
192	0.9175670211	0.2298010238
193	0.9176149057	0.2297342693
194	0.917728655	0.2295756173
195	0.917815926	0.2294538215
196	0.917840026	0.229420176
197	0.9179218823	0.2293058614
198	0.9180097286	0.2291831182
199	0.9180628812	0.2291088188
200	0.9181017916	0.2290544127
201	0.9181858832	0.228936788
202	0.9182949037	0.2287842035
203	0.9183349655	0.2287281077
204	0.9183797889	0.2286653281
205	0.918431216	0.2285932783
